ID,Education,JoiningYear,City,Age,ExperienceInCurrentDomain,PersonalityType,ProjectDescription,SoftSkill
591,Masters,2012,Pune,26,4,4,Project related to building a content management system using technology Ruby and framework Flask.,"['Motivation', 'Data analysis', 'Interpersonal communication', 'Negotiation', 'Presentation skills']"
592,Masters,2016,New Delhi,27,5,6,Project related to conducting user research using technology JavaScript and framework Vue.,"['Data analysis', 'Critical assessment skills', 'Leadership', 'Creativity', 'Team management']"
593,PHD,2017,Bangalore,28,1,1,Project related to creating user interfaces using technology Python and framework React.,"['Leadership', 'Data analysis', 'Time management', 'Risk management']"
594,Bachelors,2014,Bangalore,27,5,3,Project related to preparing data analysis using technology Ruby and framework Angular.,"['Listening skills', 'Interpersonal communication', 'Time management', 'Flexibility']"
595,Bachelors,2018,Pune,26,4,4,Project related to creating a web application using technology Python and framework Vue.,"['Empathy', 'Project management', 'Conflict management', 'Interpersonal communication', 'Persuasion']"
596,Bachelors,2018,Bangalore,27,5,7,Project related to implementing security measures using technology JavaScript and framework React.,"['Assertiveness', 'Networking', 'Adaptability to change']"
597,Bachelors,2016,Pune,24,2,6,Project related to implementing a data management system using technology Python and framework Flask.,"['Stress management', 'Critical assessment skills', 'Flexibility', 'Risk management', 'Interpersonal communication']"
598,Bachelors,2012,Bangalore,25,3,6,Project related to creating a responsive design using technology C# and framework Ruby on Rails.,"['Risk management', 'Strategic thinking', 'Flexibility', 'Persuasion', 'Data analysis']"
599,Bachelors,2017,Bangalore,27,5,2,Project related to integrating various systems using technology Java and framework Django.,"['Adaptability to change', 'Negotiation', 'Ability to work in a diverse environment', 'Change management', 'Project management', 'Critical thinking']"
600,Bachelors,2016,Bangalore,28,2,1,Project related to creating user interfaces using technology C# and framework Spring.,"['Time management', 'Critical assessment skills', 'Team management', 'Flexibility']"
601,Bachelors,2017,New Delhi,27,5,5,Project related to developing a chatbot using technology CSS and framework Spring.,"['Project management', 'Emotional intelligence', 'Empathy', 'Conflict management']"
602,Bachelors,2013,Bangalore,25,3,1,Project related to building a machine learning model using technology Python and framework Flask.,"['Adaptability to change', 'Problem-solving', 'Organization']"
603,Bachelors,2013,Bangalore,28,1,2,Project related to creating a responsive design using technology Ruby and framework Angular.,"['Emotional intelligence', 'Problem-solving', 'Empathy', 'Stress management']"
604,Bachelors,2018,Bangalore,28,3,2,Project related to automating testing processes using technology C# and framework Flask.,"['Decision-making', 'Stress management', 'Adaptability to change', 'Collaboration']"
605,Bachelors,2016,Bangalore,27,5,1,Project related to creating a data visualization dashboard using technology SQL and framework React.,"['Strategic thinking', 'Project management', 'Team management', 'Stress management', 'Interpersonal communication']"
606,Masters,2015,Pune,28,3,1,Project related to designing a database schema using technology Python and framework Flask.,"['Problem-solving', 'Networking', 'Motivation', 'Teamwork', 'Time management', 'Risk management']"
607,Masters,2015,New Delhi,24,2,3,Project related to developing a chatbot using technology CSS and framework React.,"['Change management', 'Risk management', 'Networking']"
608,Bachelors,2017,New Delhi,24,2,4,Project related to creating user interfaces using technology PHP and framework Vue.,"['Leadership', 'Problem-solving', 'Critical thinking', 'Persuasion', 'Networking', 'Strategic thinking']"
609,Bachelors,2015,Pune,24,2,7,Project related to preparing data analysis using technology Python and framework Flask.,"['Critical thinking', 'Conflict management', 'Problem-solving', 'Leadership']"
610,Masters,2013,Pune,28,2,3,Project related to enhancing system performance using technology HTML and framework React.,"['Adaptability to change', 'Presentation skills', 'Flexibility', 'Time management', 'Problem-solving', 'Creativity']"
611,Bachelors,2017,Pune,27,5,2,Project related to designing a database schema using technology HTML and framework Angular.,"['Collaboration', 'Project management', 'Flexibility', 'Emotional intelligence', 'Networking', 'Ability to work in a diverse environment']"
612,Bachelors,2014,Pune,26,4,2,Project related to writing technical documentation using technology Java and framework Spring.,"['Data analysis', 'Presentation skills', 'Collaboration', 'Creativity', 'Project management', 'Adaptability to change']"
613,Bachelors,2016,Bangalore,26,4,4,Project related to creating a web application using technology Python and framework Angular.,"['Conflict management', 'Critical assessment skills', 'Presentation skills', 'Ability to work in a diverse environment']"
614,Bachelors,2014,Pune,26,4,7,Project related to deploying applications to the cloud using technology Java and framework Angular.,"['Project management', 'Ability to work in a diverse environment', 'Creativity', 'Team management', 'Empathy', 'Organization']"
615,Bachelors,2015,Pune,28,3,6,Project related to designing a database schema using technology JavaScript and framework Django.,"['Interpersonal communication', 'Risk management', 'Persuasion', 'Critical assessment skills', 'Leadership']"
616,Bachelors,2012,Bangalore,26,4,8,Project related to implementing security measures using technology Java and framework Angular.,"['Critical thinking', 'Persuasion', 'Assertiveness']"
617,Bachelors,2017,New Delhi,26,4,5,Project related to creating a web application using technology PHP and framework Vue.,"['Strategic thinking', 'Creativity', 'Conflict management', 'Empathy', 'Stress management', 'Time management']"
618,Masters,2017,New Delhi,26,4,3,Project related to developing an API using technology Python and framework Ruby on Rails.,"['Ability to work in a diverse environment', 'Emotional intelligence', 'Time management', 'Negotiation', 'Data analysis', 'Project management']"
619,Bachelors,2016,Bangalore,26,4,7,Project related to creating a web application using technology C# and framework React.,"['Critical thinking', 'Ability to work in a diverse environment', 'Conflict management', 'Time management']"
620,Bachelors,2013,Bangalore,26,4,7,Project related to developing a mobile application using technology Python and framework Ruby on Rails.,"['Creativity', 'Negotiation', 'Change management', 'Decision-making', 'Empathy']"
621,Bachelors,2014,Bangalore,28,3,3,Project related to developing an API using technology Ruby and framework React.,"['Decision-making', 'Listening skills', 'Conflict management', 'Ability to work in a diverse environment', 'Risk management', 'Collaboration']"
622,Bachelors,2014,New Delhi,28,3,7,Project related to designing a database schema using technology Ruby and framework Angular.,"['Conflict management', 'Project management', 'Team management', 'Data analysis', 'Negotiation']"
623,Bachelors,2014,Pune,25,3,2,Project related to conducting user research using technology JavaScript and framework Angular.,"['Conflict management', 'Creativity', 'Data analysis', 'Listening skills', 'Persuasion']"
624,Bachelors,2016,Pune,28,3,2,Project related to creating a web application using technology JavaScript and framework Angular.,"['Negotiation', 'Organization', 'Presentation skills', 'Team management', 'Creativity']"
625,Masters,2017,Bangalore,27,5,8,Project related to building a content management system using technology CSS and framework Django.,"['Flexibility', 'Critical assessment skills', 'Critical thinking']"
626,Bachelors,2015,Bangalore,25,3,2,Project related to building a machine learning model using technology HTML and framework Ruby on Rails.,"['Project management', 'Adaptability to change', 'Presentation skills', 'Stress management']"
627,Bachelors,2014,Pune,27,5,1,Project related to implementing security measures using technology SQL and framework Django.,"['Collaboration', 'Project management', 'Critical assessment skills', 'Stress management', 'Flexibility', 'Presentation skills']"
628,Bachelors,2012,Pune,28,3,5,Project related to building a content management system using technology C# and framework React.,"['Listening skills', 'Creativity', 'Ability to work in a diverse environment']"
629,Masters,2017,Pune,26,4,6,Project related to developing an API using technology PHP and framework Vue.,"['Persuasion', 'Assertiveness', 'Creativity', 'Flexibility', 'Risk management']"
630,Bachelors,2013,Bangalore,25,3,1,Project related to conducting user research using technology Ruby and framework Vue.,"['Critical thinking', 'Networking', 'Risk management', 'Decision-making', 'Conflict management', 'Leadership']"
631,Bachelors,2015,Pune,28,2,2,Project related to designing a database schema using technology SQL and framework Vue.,"['Emotional intelligence', 'Organization', 'Presentation skills', 'Collaboration', 'Data analysis', 'Creativity']"
632,PHD,2013,Bangalore,26,4,2,Project related to developing a chatbot using technology Java and framework Spring.,"['Motivation', 'Interpersonal communication', 'Leadership', 'Problem-solving', 'Conflict management']"
633,Masters,2012,Pune,27,5,6,Project related to creating a web application using technology Python and framework Ruby on Rails.,"['Leadership', 'Critical thinking', 'Emotional intelligence', 'Conflict management', 'Adaptability to change', 'Stress management']"
634,Bachelors,2016,Bangalore,28,2,7,Project related to creating a web application using technology HTML and framework Angular.,"['Ability to work in a diverse environment', 'Conflict management', 'Motivation', 'Critical assessment skills', 'Teamwork']"
635,Bachelors,2017,Bangalore,27,5,5,Project related to building a machine learning model using technology Ruby and framework Django.,"['Problem-solving', 'Organization', 'Strategic thinking', 'Team management', 'Decision-making', 'Adaptability to change']"
636,Bachelors,2017,Bangalore,25,3,3,Project related to integrating various systems using technology Python and framework Angular.,"['Critical thinking', 'Teamwork', 'Leadership', 'Change management']"
637,Masters,2017,New Delhi,24,2,6,Project related to implementing continuous integration and deployment (CI/CD) using technology Java and framework Django.,"['Problem-solving', 'Creativity', 'Change management', 'Empathy', 'Team management']"
638,Bachelors,2015,Bangalore,25,3,1,Project related to implementing continuous integration and deployment (CI/CD) using technology Ruby and framework Django.,"['Stress management', 'Negotiation', 'Flexibility']"
639,Bachelors,2018,Bangalore,27,5,4,Project related to implementing continuous integration and deployment (CI/CD) using technology HTML and framework Django.,"['Decision-making', 'Change management', 'Strategic thinking', 'Ability to work in a diverse environment', 'Data analysis', 'Critical thinking']"
640,Bachelors,2014,Bangalore,26,4,6,Project related to conducting user research using technology Python and framework React.,"['Emotional intelligence', 'Listening skills', 'Assertiveness', 'Persuasion', 'Organization', 'Project management']"
641,Bachelors,2018,Bangalore,26,4,7,Project related to optimizing existing software using technology PHP and framework React.,"['Teamwork', 'Motivation', 'Critical assessment skills']"
642,Bachelors,2015,Pune,24,2,8,Project related to building a machine learning model using technology C# and framework Django.,"['Data analysis', 'Critical assessment skills', 'Creativity', 'Collaboration']"
643,Bachelors,2018,Bangalore,27,5,1,Project related to writing technical documentation using technology PHP and framework Spring.,"['Assertiveness', 'Collaboration', 'Flexibility', 'Ability to work in a diverse environment', 'Empathy']"
644,Bachelors,2016,Bangalore,27,5,6,Project related to integrating various systems using technology Java and framework Spring.,"['Organization', 'Persuasion', 'Creativity', 'Collaboration', 'Conflict management']"
645,Masters,2016,New Delhi,25,3,6,Project related to designing a database schema using technology C# and framework React.,"['Time management', 'Stress management', 'Risk management']"
646,Masters,2018,New Delhi,26,4,7,Project related to developing a mobile application using technology HTML and framework React.,"['Flexibility', 'Data analysis', 'Adaptability to change', 'Critical assessment skills', 'Motivation', 'Interpersonal communication']"
647,Bachelors,2018,Bangalore,24,2,8,Project related to developing a chatbot using technology HTML and framework Vue.,"['Empathy', 'Emotional intelligence', 'Strategic thinking', 'Creativity']"
648,Bachelors,2017,New Delhi,28,3,3,Project related to creating a data visualization dashboard using technology SQL and framework Angular.,"['Critical thinking', 'Motivation', 'Conflict management', 'Empathy']"
649,Bachelors,2015,Bangalore,27,5,8,Project related to optimizing existing software using technology CSS and framework Flask.,"['Creativity', 'Decision-making', 'Motivation', 'Persuasion', 'Teamwork']"
650,Bachelors,2017,Bangalore,26,4,6,Project related to developing an API using technology HTML and framework Angular.,"['Project management', 'Data analysis', 'Organization', 'Motivation', 'Creativity', 'Networking']"
651,Bachelors,2016,Bangalore,25,3,6,Project related to preparing data analysis using technology Java and framework Angular.,"['Negotiation', 'Project management', 'Critical thinking', 'Problem-solving', 'Team management', 'Leadership']"
652,Bachelors,2013,Pune,25,3,8,Project related to optimizing existing software using technology Python and framework Angular.,"['Creativity', 'Persuasion', 'Organization']"
653,Bachelors,2015,Pune,25,3,8,Project related to optimizing existing software using technology HTML and framework Angular.,"['Conflict management', 'Flexibility', 'Time management', 'Critical assessment skills', 'Problem-solving']"
654,Bachelors,2014,Bangalore,28,3,4,Project related to creating user interfaces using technology PHP and framework Django.,"['Teamwork', 'Collaboration', 'Team management', 'Networking', 'Organization', 'Data analysis']"
655,Bachelors,2015,Pune,24,2,2,Project related to preparing data analysis using technology JavaScript and framework Ruby on Rails.,"['Emotional intelligence', 'Project management', 'Problem-solving', 'Presentation skills', 'Creativity']"
656,Bachelors,2016,Bangalore,26,4,8,Project related to developing a chatbot using technology Python and framework Vue.,"['Decision-making', 'Strategic thinking', 'Empathy']"
657,Bachelors,2018,Bangalore,25,3,6,Project related to developing a chatbot using technology Ruby and framework Django.,"['Adaptability to change', 'Problem-solving', 'Flexibility', 'Negotiation']"
658,Masters,2017,Pune,28,1,1,Project related to implementing continuous integration and deployment (CI/CD) using technology Ruby and framework Flask.,"['Presentation skills', 'Listening skills', 'Flexibility']"
659,Bachelors,2014,Pune,25,3,2,Project related to building a machine learning model using technology C# and framework Ruby on Rails.,"['Networking', 'Data analysis', 'Adaptability to change', 'Decision-making']"
660,Bachelors,2017,Bangalore,25,3,4,Project related to writing technical documentation using technology SQL and framework Vue.,"['Critical assessment skills', 'Collaboration', 'Critical thinking', 'Strategic thinking', 'Data analysis', 'Negotiation']"
661,Bachelors,2016,Bangalore,28,3,6,Project related to developing an API using technology C# and framework Django.,"['Leadership', 'Emotional intelligence', 'Team management']"
662,Bachelors,2014,Bangalore,28,2,2,Project related to implementing security measures using technology Ruby and framework Flask.,"['Risk management', 'Networking', 'Time management', 'Emotional intelligence']"
663,Masters,2017,New Delhi,28,2,1,Project related to building a machine learning model using technology PHP and framework Django.,"['Decision-making', 'Motivation', 'Stress management', 'Emotional intelligence', 'Ability to work in a diverse environment']"
664,Bachelors,2017,New Delhi,24,2,6,Project related to preparing data analysis using technology C# and framework Flask.,"['Negotiation', 'Emotional intelligence', 'Risk management', 'Interpersonal communication', 'Adaptability to change', 'Critical assessment skills']"
665,PHD,2013,New Delhi,25,3,6,Project related to implementing a data management system using technology Python and framework Vue.,"['Organization', 'Project management', 'Change management']"
666,Bachelors,2017,Bangalore,24,2,2,Project related to integrating various systems using technology Ruby and framework React.,"['Presentation skills', 'Risk management', 'Project management']"
667,Bachelors,2017,Bangalore,26,4,1,Project related to enhancing system performance using technology PHP and framework React.,"['Negotiation', 'Team management', 'Adaptability to change', 'Listening skills', 'Creativity']"
668,Bachelors,2015,Bangalore,25,3,7,Project related to developing a mobile application using technology HTML and framework Ruby on Rails.,"['Ability to work in a diverse environment', 'Negotiation', 'Persuasion', 'Empathy', 'Emotional intelligence', 'Presentation skills']"
669,Bachelors,2016,Bangalore,26,4,8,Project related to writing technical documentation using technology PHP and framework Django.,"['Team management', 'Interpersonal communication', 'Leadership']"
670,PHD,2014,New Delhi,28,2,7,Project related to developing an API using technology Python and framework Ruby on Rails.,"['Team management', 'Presentation skills', 'Risk management', 'Networking', 'Adaptability to change']"
671,Masters,2018,New Delhi,27,5,6,Project related to integrating various systems using technology Python and framework React.,"['Persuasion', 'Strategic thinking', 'Leadership', 'Data analysis', 'Interpersonal communication']"
672,Bachelors,2016,New Delhi,27,5,1,Project related to deploying applications to the cloud using technology HTML and framework Ruby on Rails.,"['Critical assessment skills', 'Decision-making', 'Ability to work in a diverse environment', 'Problem-solving']"
673,Masters,2017,New Delhi,25,3,6,Project related to optimizing existing software using technology JavaScript and framework Spring.,"['Project management', 'Organization', 'Collaboration', 'Emotional intelligence', 'Decision-making', 'Adaptability to change']"
674,Bachelors,2017,Bangalore,26,4,1,Project related to preparing data analysis using technology Ruby and framework Vue.,"['Presentation skills', 'Leadership', 'Strategic thinking', 'Adaptability to change']"
675,Bachelors,2016,New Delhi,27,5,5,Project related to creating a data visualization dashboard using technology Python and framework Flask.,"['Leadership', 'Data analysis', 'Decision-making', 'Risk management', 'Assertiveness']"
676,Bachelors,2017,Pune,25,3,3,Project related to enhancing system performance using technology CSS and framework Django.,"['Strategic thinking', 'Empathy', 'Persuasion', 'Teamwork']"
677,Bachelors,2018,Pune,28,1,4,Project related to creating a web application using technology Java and framework React.,"['Flexibility', 'Empathy', 'Conflict management', 'Team management', 'Problem-solving']"
678,Bachelors,2014,Bangalore,25,3,4,Project related to building a machine learning model using technology JavaScript and framework Django.,"['Team management', 'Change management', 'Presentation skills', 'Decision-making']"
679,Bachelors,2018,Pune,28,1,2,Project related to building a machine learning model using technology Ruby and framework React.,"['Creativity', 'Team management', 'Presentation skills']"
680,Bachelors,2017,Bangalore,26,4,5,Project related to conducting user research using technology C# and framework Angular.,"['Conflict management', 'Motivation', 'Data analysis']"
681,Bachelors,2013,Bangalore,24,2,6,Project related to implementing continuous integration and deployment (CI/CD) using technology Java and framework React.,"['Stress management', 'Interpersonal communication', 'Strategic thinking', 'Problem-solving', 'Risk management']"
682,Bachelors,2012,New Delhi,26,4,2,Project related to automating testing processes using technology Java and framework Spring.,"['Change management', 'Persuasion', 'Problem-solving', 'Flexibility', 'Networking']"
683,Bachelors,2012,Pune,25,3,4,Project related to building a content management system using technology PHP and framework Flask.,"['Listening skills', 'Negotiation', 'Risk management', 'Team management', 'Creativity']"
684,Masters,2013,New Delhi,24,2,5,Project related to building a content management system using technology SQL and framework Vue.,"['Data analysis', 'Creativity', 'Assertiveness', 'Teamwork', 'Decision-making', 'Flexibility']"
685,Bachelors,2018,Pune,26,4,6,Project related to automating testing processes using technology Ruby and framework Ruby on Rails.,"['Ability to work in a diverse environment', 'Adaptability to change', 'Creativity', 'Team management', 'Emotional intelligence']"
686,Bachelors,2016,New Delhi,28,2,2,Project related to developing a chatbot using technology JavaScript and framework Django.,"['Collaboration', 'Leadership', 'Persuasion']"
687,Bachelors,2016,Pune,26,4,4,Project related to developing a mobile application using technology C# and framework Flask.,"['Listening skills', 'Decision-making', 'Critical assessment skills', 'Persuasion', 'Presentation skills', 'Creativity']"
688,Masters,2014,New Delhi,24,2,1,Project related to conducting user research using technology PHP and framework React.,"['Collaboration', 'Data analysis', 'Project management', 'Critical thinking']"
689,Bachelors,2013,Bangalore,26,4,6,Project related to deploying applications to the cloud using technology C# and framework Vue.,"['Emotional intelligence', 'Change management', 'Organization', 'Ability to work in a diverse environment', 'Teamwork']"
690,Bachelors,2014,Pune,26,4,3,Project related to implementing security measures using technology Python and framework Ruby on Rails.,"['Team management', 'Presentation skills', 'Change management']"
691,Bachelors,2014,Pune,25,3,5,Project related to building a machine learning model using technology CSS and framework React.,"['Listening skills', 'Emotional intelligence', 'Problem-solving', 'Empathy', 'Risk management']"
692,Bachelors,2013,Pune,27,5,4,Project related to creating a responsive design using technology JavaScript and framework React.,"['Organization', 'Emotional intelligence', 'Negotiation', 'Time management', 'Leadership', 'Team management']"
693,Bachelors,2018,Bangalore,27,5,8,Project related to integrating various systems using technology C# and framework Ruby on Rails.,"['Persuasion', 'Organization', 'Teamwork', 'Ability to work in a diverse environment', 'Change management']"
694,Bachelors,2015,Bangalore,25,3,5,Project related to building a machine learning model using technology C# and framework Angular.,"['Strategic thinking', 'Team management', 'Critical assessment skills', 'Empathy', 'Conflict management', 'Presentation skills']"
695,Bachelors,2016,Pune,26,4,2,Project related to creating a web application using technology Ruby and framework React.,"['Team management', 'Flexibility', 'Change management']"
696,Bachelors,2015,Pune,27,5,7,Project related to developing an API using technology C# and framework Django.,"['Emotional intelligence', 'Negotiation', 'Persuasion', 'Decision-making']"
697,Bachelors,2017,Bangalore,26,4,2,Project related to integrating various systems using technology JavaScript and framework Django.,"['Project management', 'Listening skills', 'Leadership', 'Negotiation', 'Conflict management', 'Critical thinking']"
698,Masters,2017,Pune,26,4,5,Project related to implementing a data management system using technology Java and framework Angular.,"['Persuasion', 'Creativity', 'Change management', 'Emotional intelligence', 'Leadership', 'Networking']"
699,Bachelors,2017,New Delhi,27,5,3,Project related to automating testing processes using technology CSS and framework React.,"['Adaptability to change', 'Organization', 'Strategic thinking', 'Listening skills', 'Emotional intelligence']"
700,Masters,2017,Pune,24,2,5,Project related to implementing a data management system using technology Ruby and framework Vue.,"['Emotional intelligence', 'Critical assessment skills', 'Assertiveness', 'Motivation', 'Negotiation', 'Change management']"
701,Masters,2017,New Delhi,26,4,1,Project related to writing technical documentation using technology SQL and framework Django.,"['Negotiation', 'Listening skills', 'Critical assessment skills', 'Conflict management']"
702,Bachelors,2015,Bangalore,27,5,7,Project related to deploying applications to the cloud using technology PHP and framework Flask.,"['Team management', 'Networking', 'Ability to work in a diverse environment', 'Assertiveness', 'Decision-making', 'Data analysis']"
703,Bachelors,2015,Bangalore,26,4,4,Project related to automating testing processes using technology Python and framework Django.,"['Team management', 'Empathy', 'Stress management', 'Critical thinking', 'Emotional intelligence', 'Interpersonal communication']"
704,Masters,2017,Pune,24,2,7,Project related to creating user interfaces using technology SQL and framework Vue.,"['Critical thinking', 'Creativity', 'Change management', 'Flexibility']"
705,Bachelors,2017,Bangalore,26,4,3,Project related to building a machine learning model using technology Python and framework React.,"['Listening skills', 'Presentation skills', 'Collaboration', 'Networking']"
706,Bachelors,2014,Bangalore,26,4,8,Project related to creating a responsive design using technology PHP and framework Django.,"['Strategic thinking', 'Team management', 'Motivation', 'Flexibility', 'Collaboration']"
707,Bachelors,2015,Bangalore,28,1,1,Project related to automating testing processes using technology Java and framework Ruby on Rails.,"['Decision-making', 'Stress management', 'Conflict management', 'Creativity']"
708,Masters,2017,New Delhi,24,2,3,Project related to designing a database schema using technology Python and framework Vue.,"['Adaptability to change', 'Persuasion', 'Time management']"
709,Bachelors,2013,Pune,25,3,3,Project related to building a machine learning model using technology Java and framework Ruby on Rails.,"['Data analysis', 'Persuasion', 'Empathy']"
710,Masters,2013,Bangalore,27,5,3,Project related to designing a database schema using technology Python and framework Ruby on Rails.,"['Critical thinking', 'Change management', 'Strategic thinking', 'Motivation']"
711,Bachelors,2017,Bangalore,27,5,7,Project related to developing an API using technology JavaScript and framework React.,"['Organization', 'Risk management', 'Interpersonal communication', 'Time management', 'Presentation skills']"
712,Bachelors,2015,New Delhi,28,2,3,Project related to automating testing processes using technology C# and framework Vue.,"['Change management', 'Interpersonal communication', 'Team management', 'Decision-making']"
713,Bachelors,2014,Pune,24,2,7,Project related to enhancing system performance using technology C# and framework Ruby on Rails.,"['Ability to work in a diverse environment', 'Risk management', 'Negotiation', 'Networking']"
714,Bachelors,2016,Pune,27,5,7,Project related to automating testing processes using technology SQL and framework Ruby on Rails.,"['Interpersonal communication', 'Assertiveness', 'Adaptability to change', 'Listening skills', 'Project management']"
715,Bachelors,2017,Bangalore,27,5,6,Project related to integrating various systems using technology Python and framework Flask.,"['Stress management', 'Networking', 'Motivation', 'Project management']"
716,Bachelors,2016,Bangalore,26,4,6,Project related to integrating various systems using technology HTML and framework Ruby on Rails.,"['Adaptability to change', 'Problem-solving', 'Listening skills', 'Project management', 'Collaboration', 'Assertiveness']"
717,Bachelors,2015,Pune,27,5,6,Project related to optimizing existing software using technology CSS and framework Angular.,"['Interpersonal communication', 'Leadership', 'Assertiveness', 'Negotiation', 'Decision-making', 'Collaboration']"
718,Bachelors,2015,Bangalore,26,4,7,Project related to creating a data visualization dashboard using technology PHP and framework Angular.,"['Team management', 'Conflict management', 'Decision-making']"
719,Bachelors,2018,Bangalore,27,5,3,Project related to creating a responsive design using technology Ruby and framework Django.,"['Leadership', 'Problem-solving', 'Teamwork', 'Change management', 'Motivation', 'Emotional intelligence']"
720,Bachelors,2016,Bangalore,24,2,1,Project related to automating testing processes using technology JavaScript and framework Django.,"['Conflict management', 'Motivation', 'Networking']"
721,Bachelors,2014,Bangalore,24,2,8,Project related to creating user interfaces using technology PHP and framework Flask.,"['Risk management', 'Change management', 'Assertiveness', 'Project management', 'Decision-making', 'Flexibility']"
722,Bachelors,2013,New Delhi,24,2,2,Project related to optimizing existing software using technology JavaScript and framework Django.,"['Team management', 'Critical assessment skills', 'Creativity', 'Risk management']"
723,Bachelors,2012,Bangalore,26,4,1,Project related to deploying applications to the cloud using technology Ruby and framework Spring.,"['Risk management', 'Ability to work in a diverse environment', 'Teamwork', 'Emotional intelligence']"
724,Bachelors,2015,Pune,28,2,2,Project related to creating a data visualization dashboard using technology Ruby and framework Flask.,"['Interpersonal communication', 'Time management', 'Teamwork', 'Team management', 'Decision-making', 'Listening skills']"
725,Bachelors,2018,Bangalore,26,4,3,Project related to optimizing existing software using technology SQL and framework Vue.,"['Team management', 'Collaboration', 'Flexibility', 'Strategic thinking', 'Teamwork', 'Negotiation']"
726,Bachelors,2016,Bangalore,24,2,1,Project related to implementing a data management system using technology SQL and framework Spring.,"['Critical assessment skills', 'Organization', 'Collaboration', 'Motivation', 'Conflict management']"
727,Masters,2017,Pune,24,2,2,Project related to conducting user research using technology CSS and framework Spring.,"['Ability to work in a diverse environment', 'Adaptability to change', 'Teamwork', 'Presentation skills', 'Motivation']"
728,Masters,2016,Pune,24,2,7,Project related to enhancing system performance using technology CSS and framework React.,"['Critical thinking', 'Project management', 'Organization', 'Networking', 'Collaboration']"
729,Bachelors,2013,Bangalore,28,1,1,Project related to creating a web application using technology Python and framework Angular.,"['Data analysis', 'Persuasion', 'Stress management', 'Adaptability to change', 'Conflict management']"
730,Bachelors,2015,Bangalore,28,1,3,Project related to developing an API using technology CSS and framework Flask.,"['Ability to work in a diverse environment', 'Presentation skills', 'Team management']"
731,PHD,2018,Bangalore,24,2,3,Project related to enhancing system performance using technology CSS and framework Vue.,"['Critical assessment skills', 'Data analysis', 'Collaboration']"
732,Bachelors,2016,Bangalore,26,4,6,Project related to deploying applications to the cloud using technology PHP and framework Ruby on Rails.,"['Interpersonal communication', 'Project management', 'Problem-solving', 'Decision-making', 'Team management', 'Organization']"
733,Bachelors,2013,Bangalore,27,5,5,Project related to implementing a data management system using technology Java and framework React.,"['Critical assessment skills', 'Collaboration', 'Adaptability to change', 'Creativity', 'Networking', 'Interpersonal communication']"
734,Bachelors,2013,Bangalore,25,3,7,Project related to conducting user research using technology HTML and framework React.,"['Collaboration', 'Stress management', 'Problem-solving']"
735,Masters,2016,New Delhi,24,2,5,Project related to creating a responsive design using technology Java and framework Django.,"['Change management', 'Creativity', 'Motivation', 'Data analysis']"
736,Bachelors,2017,New Delhi,25,3,8,Project related to designing a database schema using technology JavaScript and framework React.,"['Decision-making', 'Problem-solving', 'Ability to work in a diverse environment', 'Project management', 'Interpersonal communication']"
737,Bachelors,2013,Bangalore,28,3,5,Project related to developing an API using technology CSS and framework Django.,"['Presentation skills', 'Empathy', 'Motivation']"
738,Bachelors,2018,Bangalore,28,1,5,Project related to preparing data analysis using technology C# and framework React.,"['Motivation', 'Organization', 'Decision-making', 'Presentation skills']"
739,Bachelors,2017,Bangalore,24,2,8,Project related to preparing data analysis using technology SQL and framework Django.,"['Leadership', 'Project management', 'Presentation skills', 'Assertiveness', 'Interpersonal communication', 'Negotiation']"
740,Masters,2014,New Delhi,24,2,7,Project related to developing a chatbot using technology HTML and framework React.,"['Interpersonal communication', 'Strategic thinking', 'Flexibility', 'Time management']"
741,PHD,2012,New Delhi,24,2,2,Project related to developing an API using technology SQL and framework React.,"['Networking', 'Change management', 'Persuasion', 'Organization']"
742,Bachelors,2017,Bangalore,25,3,6,Project related to developing a mobile application using technology C# and framework React.,"['Change management', 'Conflict management', 'Flexibility']"
743,Masters,2014,New Delhi,27,5,2,Project related to enhancing system performance using technology CSS and framework React.,"['Creativity', 'Change management', 'Conflict management', 'Flexibility', 'Strategic thinking', 'Presentation skills']"
744,Bachelors,2015,Bangalore,27,5,6,Project related to implementing a data management system using technology SQL and framework Angular.,"['Emotional intelligence', 'Adaptability to change', 'Persuasion', 'Stress management', 'Critical thinking', 'Presentation skills']"
745,Bachelors,2014,Pune,25,3,2,Project related to implementing continuous integration and deployment (CI/CD) using technology HTML and framework React.,"['Organization', 'Critical assessment skills', 'Persuasion']"
746,Bachelors,2012,Bangalore,28,3,3,Project related to developing a mobile application using technology Java and framework React.,"['Data analysis', 'Critical assessment skills', 'Creativity', 'Team management', 'Adaptability to change', 'Interpersonal communication']"
747,Bachelors,2012,Bangalore,25,3,3,Project related to designing a database schema using technology HTML and framework Vue.,"['Problem-solving', 'Networking', 'Project management']"
748,Bachelors,2015,Bangalore,24,2,3,Project related to deploying applications to the cloud using technology Python and framework React.,"['Risk management', 'Leadership', 'Teamwork', 'Team management']"
749,Bachelors,2013,Pune,27,5,8,Project related to implementing a data management system using technology SQL and framework Django.,"['Problem-solving', 'Motivation', 'Ability to work in a diverse environment', 'Presentation skills']"
750,Bachelors,2013,Bangalore,26,4,3,Project related to building a content management system using technology Java and framework Flask.,"['Ability to work in a diverse environment', 'Stress management', 'Strategic thinking', 'Listening skills', 'Risk management', 'Team management']"
